file	id	name	model	state	rating	fights	kit	len	verbs	useArgs	useLits	deadLits	readsKit	enemyKit	lead	enemyStarted	telegraph	enemyCasting	projectiles	zones	visible	los	pathTo	ray	obstacles	blinded	silenced	rooted	stunned	refused	missed	damaged	dealt	busy	ready	cooldownField	burn	airborne	memApi	closureState	cyrillicSay	cyrillicAny	hardDist	useJump	tryCatch	faceBeforeUse	hp
google_gemini_3_7_flash_plain__c_3aa2bb0f-f14.js	c_3aa2bb0f-f14	SLEDGEHAMMER	google/gemini-3.7-flash:plain	active	1157	6032	dash[knock] cone[stun] cone[damage]	2331	move,moveTo,faceAt,use,ready,ray,say	3/0/0	k2,k3,k1		N	N	Y	N	Y	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	Y	Y	5	N	N	Y	N
google_gemini_3_7_flash_plain__c_3d990e92-7b6.js	c_3d990e92-7b6	CHRONOMETER	google/gemini-3.7-flash:plain	retired	1175	1093	zone[weaken+damage:speed] blink[boost:speed] zone[root+damage]	2186	move,moveTo,faceAt,use,ready,say	2/0/2	k2,k3,k1		N	N	N	N	Y	Y	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	5	N	N	Y	N
google_gemini_3_7_flash_plain__c_61d1f99d-43f.js	c_61d1f99d-43f	BOLIDE	google/gemini-3.7-flash:plain	active	1332	12310	self[boost:speed] dash[damage] zone[weaken:speed]	3426	move,face,use,ready,ray,say	2/0/3	jump,blink,laser	k1,k2,k3	N	N	Y	N	Y	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	6	Y	N	Y	N
google_gemini_3_7_flash_plain__c_70986a43-271.js	c_70986a43-271	ODIN	google/gemini-3.7-flash:plain	active	1170	13976	bolt[damage+stun] self[boost:damage] cone[knock+damage]	2100	move,moveTo,face,faceAt,use,ready,los,say	4/0/0	jump,smash,charge	k1,k2,k3	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	Y	Y	6	Y	N	Y	N
google_gemini_3_7_flash_plain__c_73fc47a4-2d5.js	c_73fc47a4-2d5	MERCURY EEL	google/gemini-3.7-flash:plain	active	1230	7626	blink[cleanse+boost:speed] bolt[damage+blind] dash[damage]	4658	moveTo,face,faceAt,use,ready,los,say	2/0/1	k1,k3,k2		N	N	N	N	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	Y	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	5	N	N	Y	N
google_gemini_3_7_flash_plain__c_7c8ffee4-b3b.js	c_7c8ffee4-b3b	BLACK KITE	google/gemini-3.7-flash:plain	active	1170	9177	jump[boost:speed] lob[damage+stun] dash[damage]	3142	moveTo,faceAt,use,ready,ray,say	3/0/0	k1,k3,k2		N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	N	Y	Y	7	N	N	Y	N
google_gemini_3_7_flash_plain__c_7ea987df-b0a.js	c_7ea987df-b0a	COLDSNAP	google/gemini-3.7-flash:plain	active	1361	6485	zone[damage+weaken:speed] bolt[root+weaken:armor] cone[damage]	2938	move,moveTo,faceAt,use,ready,cooldown,say	3/0/0	k3,k2,k1		N	N	Y	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	7	N	N	Y	N
google_gemini_3_7_flash_plain__c_83089e56-e2f.js	c_83089e56-e2f	SALT BULL	google/gemini-3.7-flash:plain	active	1200	8094	dash[damage+knock] cone[damage+stun] self[boost:armor]	1207	move,moveTo,faceAt,use,ready,ray,say	3/0/0	k3,k2,k1		N	N	N	N	N	N	N	N	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	3	N	N	Y	N
google_gemini_3_7_flash_plain__c_86e14a3c-519.js	c_86e14a3c-519	HEAVY REACTOR	google/gemini-3.7-flash:plain	active	1270	6633	zone[root] cone[burn] zone[damage]	1486	move,moveTo,faceAt,use,ready,say	3/0/0	k1,k3,k2		N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	0	N	N	Y	N
google_gemini_3_7_flash_plain__c_877bf4e7-bf1.js	c_877bf4e7-bf1	VILE SHRIMP	google/gemini-3.7-flash:plain	active	1474	8610	dash[damage] beam[damage] self[boost:speed]	3136	move,faceAt,use,ready,ray,say	2/0/1		k1,k2,k3	N	N	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	9	N	N	Y	N
google_gemini_3_7_flash_plain__c_a6994a7b-c82.js	c_a6994a7b-c82	GRIM HIGHLANDER	google/gemini-3.7-flash:plain	active	1195	9224	dash[damage] cone[weaken:damage] zone[damage+knock]	3101	move,moveTo,faceAt,use,ready,ray,pathTo,say	3/0/0			?	N	N	N	Y	Y	N	Y	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	6	N	N	Y	N
google_gemini_3_7_flash_plain__c_a843173b-ea4.js	c_a843173b-ea4	MONOCYCLE CUTTER	google/gemini-3.7-flash:plain	active	1446	5281	beam[damage] dash[damage] cone[damage+knock]	3493	move,moveTo,faceAt,use,ready,ray,say	3/0/0	k3,k2,k1		N	N	N	N	Y	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	Y	Y	7	N	N	Y	N
google_gemini_3_7_flash_plain__c_af623a2f-f7e.js	c_af623a2f-f7e	GRAVEDIGGER	google/gemini-3.7-flash:plain	active	1508	5087	zone[burn+blind] lob[burn] self[shield+heal]	2710	move,moveTo,faceAt,use,ready,ray,say	3/0/0	k3,k1,k2		N	N	N	N	N	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	Y	4	N	N	Y	Y
google_gemini_3_7_flash_plain__c_b7a28147-337.js	c_b7a28147-337	BILGE CRAB	google/gemini-3.7-flash:plain	active	1180	7662	lob[wall] self[heal+shield] cone[damage]	1801	move,moveTo,faceAt,use,ready,los,say	2/0/1	k2,k3,k1		N	N	Y	N	Y	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	Y	Y	5	N	N	Y	Y
google_gemini_3_7_flash_plain__c_bbf95643-d91.js	c_bbf95643-d91	LASER CUTTER	google/gemini-3.7-flash:plain	active	1232	5919	beam[damage] beam[burn] self[boost:range]	2679	move,stop,faceAt,use,ready,ray	3/0/0	k3,k2,k1		N	N	N	N	N	Y	N	N	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	4	N	N	Y	N
google_gemini_3_7_flash_plain__c_bee0fcba-180.js	c_bee0fcba-180	TOWER	google/gemini-3.7-flash:plain	active	1210	8000	beam[damage] self[boost:range] bolt[damage+knock]	1637	moveTo,faceAt,use,ready,say	3/0/0	k2,k1,k3		N	N	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	2	N	N	Y	N
google_gemini_3_7_flash_plain__c_c314eeb0-2b1.js	c_c314eeb0-2b1	CHRONOTHUNDER	google/gemini-3.7-flash:plain	retired	1195	1028	zone[weaken:speed] beam[damage] bolt[damage+stun]	4140	move,moveTo,stop,faceAt,use,ready,pathTo,say	3/0/0	k3,k2,k1		N	N	Y	N	Y	Y	Y	Y	Y	N	Y	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	3	N	N	Y	N
google_gemini_3_7_flash_plain__c_c4eb7da3-a72.js	c_c4eb7da3-a72	THE RIFT	google/gemini-3.7-flash:plain	active	1597	5326	bolt[damage+silence] blink[shield] zone[damage+pull]	3650	move,moveTo,face,use,ready,say	2/0/2	k2,k1,k3		N	N	Y	N	Y	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	4	N	N	Y	N
google_gemini_3_7_flash_plain__c_c764acde-f2f.js	c_c764acde-f2f	MANTIS REAPER	google/gemini-3.7-flash:plain	active	1240	9230	cone[damage] cone[damage+root] jump[boost:speed]	1727	move,moveTo,face,use,ready,los,say	4/0/0	k3,k2,k1		N	N	N	N	Y	Y	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	Y	Y	3	N	N	Y	N
google_gemini_3_7_flash_plain__c_cdb90c01-ad9.js	c_cdb90c01-ad9	ACID CUTTER	google/gemini-3.7-flash:plain	active	1458	6700	cone[weaken+burn:armor] beam[damage] dash[damage]	1818	move,moveTo,faceAt,use,ready,say	3/0/0	k1,k3,k2		N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	6	N	N	Y	N
google_gemini_3_7_flash_plain__c_e24810eb-c7c.js	c_e24810eb-c7c	THUNDERSTRIKE	google/gemini-3.7-flash:plain	active	1241	5175	self[boost:damage] beam[damage+stun] blink[shield]	3160	moveTo,faceAt,use,ready,rand,say	2/0/2	k3,k1,k2		N	N	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	Y	5	N	N	Y	Y
google_gemini_3_7_flash_plain__c_e8a4582b-3d4.js	c_e8a4582b-3d4	DRAGONFLY	google/gemini-3.7-flash:plain	active	1147	11280	beam[damage] blink[cleanse] bolt[damage]	3654	move,faceAt,use,ready,los,say	2/0/0		k2	N	N	Y	N	Y	Y	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	5	N	N	Y	N
google_gemini_3_7_flash_plain__c_f9fb473a-187.js	c_f9fb473a-187	BARROW	google/gemini-3.7-flash:plain	active	1267	5235	zone[pull+weaken:speed] zone[damage+root] self[shield]	2193	move,faceAt,use,ready,say	3/0/0	k3,k2,k1		N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	0	N	N	Y	N
haiku__c_2f990392-e68.js	c_2f990392-e68	HAMMERBACK-00	haiku	active	850	4802	beam[damage] blink[cleanse] zone[burn]	865	move,stop,faceAt,use,ready	3/0/0	charge,smash	k1,k2,k3	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	4	N	N	Y	N
haiku__c_ae4bc2aa-d58.js	c_ae4bc2aa-d58	LENS-00	haiku	active	850	3379	beam[damage] blink[cleanse] zone[burn]	1327	move,face,use,ready	2/0/1	blink,jump,laser	k1,k2,k3	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	0	Y	N	Y	N
kit_stub__c_0225ecc7-136.js	c_0225ecc7-136	SINKHOLE	kit-stub	retired	1402	688	cone[damage] self[shield] zone[damage]	11507	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_08afabcb-3de.js	c_08afabcb-3de	ARRESTER	kit-stub	active	1656	5926	cone[damage] self[shield] zone[damage]	10839	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_29cc3c22-81a.js	c_29cc3c22-81a	ARRESTER	kit-stub	retired	1459	688	cone[damage] self[shield] zone[damage]	10833	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_3fdf18d5-48c.js	c_3fdf18d5-48c	ICEBREAKER	kit-stub	active	1572	5967	cone[damage] self[shield] zone[damage]	10842	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_59071c0c-eaa.js	c_59071c0c-eaa	COLDSNAP	kit-stub	retired	1437	376	beam[damage] bolt[damage] lob[damage]	10832	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_6175cdca-964.js	c_6175cdca-964	MAGMAR	kit-stub	active	1426	5604	cone[damage] self[shield] zone[burn]	11508	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_6ae13905-d20.js	c_6ae13905-d20	ASH	kit-stub	active	1526	6346	beam[damage] bolt[damage] lob[burn]	11506	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_7cbb994e-6bf.js	c_7cbb994e-6bf	ICEBREAKER	kit-stub	retired	1455	1285	cone[damage] self[shield] zone[damage]	10835	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_d59474aa-b10.js	c_d59474aa-b10	BATTERING RAM	kit-stub	retired	1516	690	cone[damage] self[shield] zone[damage]	10833	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_f5bbda9f-0d0.js	c_f5bbda9f-0d0	MAGMAR	kit-stub	retired	1186	1122	cone[damage] self[shield] zone[burn]	11504	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
kit_stub__c_f7ddf8fc-1df.js	c_f7ddf8fc-1df	STORM	kit-stub	active	1579	6586	beam[damage] bolt[damage] lob[damage]	10832	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	9	N	N	Y	Y
opus__c_04cc9eb0-595.js	c_04cc9eb0-595	SEAM-70	opus	active	1410	9702	bolt[blind] lob[silence] cone[damage]	6671	move,faceAt,use,ready,cooldown,ray,rand,say	2/0/4	blink,jump,laser	k1,k2,k3	N	N	N	N	Y	Y	N	N	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	9	Y	N	Y	N
opus__c_05721d7b-fff.js	c_05721d7b-fff	MARK-92	opus	active	1583	7690	beam[damage] blink[cleanse] zone[burn]	6545	move,moveTo,stop,faceAt,use,ready,ray,pathTo,say	1/0/1		k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	N	Y	Y	Y	N	N	N	Y	N	N	N	N	Y	Y	N	Y	Y	N	Y	N	N	4	N	Y	Y	Y
opus__c_19ff07a7-841.js	c_19ff07a7-841	SHAFT-50	opus	active	1250	10541	beam[damage] blink[cleanse] zone[burn]	7231	move,moveTo,faceAt,use,ready,cooldown,say	2/0/0	smash,charge	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	N	N	N	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	8	N	N	Y	N
opus__c_2d2c593e-838.js	c_2d2c593e-838	BOULDER-42	opus	active	1183	11393	cone[damage+knock] dash[damage] self[shield]	6734	move,stop,faceAt,use,ready,pathTo,say	2/0/0	smash,charge	k1,k2,k3	N	N	N	Y	Y	N	N	N	Y	N	Y	N	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	0	N	N	Y	N
opus__c_336cd583-4d0.js	c_336cd583-4d0	LINE-17	opus	active	983	5324	bolt[blind] lob[silence] cone[damage]	7764	move,faceAt,use,ready,los,ray,pathTo,say	2/0/3	blink,jump,laser	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	Y	Y	Y	Y	N	N	N	Y	N	N	Y	N	Y	Y	N	N	Y	N	Y	N	N	12	Y	N	Y	N
opus__c_375283c7-637.js	c_375283c7-637	WEDGE-40	opus	active	1170	11065	bolt[blind] lob[silence] cone[damage]	7599	move,moveTo,face,faceAt,use,ready,ray,rand	4/0/0	smash,charge	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	N	N	Y	Y	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	N	N	N	N	0	N	N	Y	N
opus__c_4bfb6d5b-6f3.js	c_4bfb6d5b-6f3	PRESS-60	opus	active	1330	11064	bolt[blind] lob[silence] cone[damage]	8880	move,moveTo,stop,faceAt,use,ready,ray,pathTo,rand,say	2/0/0	smash,charge	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	N	Y	Y	N	N	N	N	Y	N	N	Y	N	Y	Y	N	N	Y	N	Y	N	N	7	N	N	Y	N
opus__c_736d9716-bef.js	c_736d9716-bef	GRAIN-50	opus	active	1250	8770	cone[damage+knock] dash[damage] self[shield]	8151	move,moveTo,faceAt,use,ready,cooldown,say	2/0/3	blink,jump,laser	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	N	N	N	Y	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	N	Y	N	N	13	Y	N	Y	N
opus__c_a0ccc3c9-76e.js	c_a0ccc3c9-76e	SPIRE-08	opus	active	917	4171	cone[damage+knock] dash[damage] self[shield]	7937	move,faceAt,use,ready,cooldown,los,say	2/0/3	blink,jump,laser	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	Y	N	N	Y	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	N	Y	N	N	9	Y	N	Y	Y
opus__c_a7d3cfba-205.js	c_a7d3cfba-205	RIDGE-50	opus	active	1250	10746	cone[damage+knock] dash[damage] self[shield]	4986	move,moveTo,faceAt,use,ready,ray,say	2/0/0	smash,charge	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	N	N	Y	Y	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	N	Y	N	N	0	N	N	Y	N
opus__c_c40e5ef2-c39.js	c_c40e5ef2-c39	DECK-75	opus	active	1450	11000	beam[damage] blink[cleanse] zone[burn]	7863	move,moveTo,stop,faceAt,use,ready,ray,pathTo,say	2/0/0	smash,charge	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	N	Y	Y	N	N	N	N	Y	N	N	Y	N	Y	Y	N	N	Y	N	Y	N	N	0	N	N	Y	N
opus__c_e3d88cca-bb4.js	c_e3d88cca-bb4	NEEDLE-42	opus	active	1183	9013	beam[damage] blink[cleanse] zone[burn]	7128	move,moveTo,faceAt,use,ready,cooldown,los,ray,pathTo,rand,say	2/0/3	blink,jump,laser	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	Y	Y	Y	Y	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	N	Y	N	N	5	Y	N	Y	N
opus__c_fe0d7767-89e.js	c_fe0d7767-89e	SOIL-33	opus	active	1117	11808	cone[damage+knock] dash[damage] self[shield]	5012	move,moveTo,faceAt,use,ready,ray,pathTo,rand,say	2/0/0	smash,charge	k1,k2,k3	N	N	N	N	Y	Y	N	N	Y	N	Y	Y	Y	N	N	N	Y	N	N	Y	N	N	Y	N	N	Y	N	Y	N	N	0	N	N	Y	N
sub_fable_plain__c_4109357b-a49.js	c_4109357b-a49	BARROW SHADE	sub:fable:plain	active	1197	5573	zone[damage+pull] zone[weaken+pull:speed] lob[damage+weaken:speed]	6024	move,moveTo,faceAt,use,ready,rand,say	0/0/3	k2,k3,k1		N	N	N	N	N	Y	Y	Y	Y	N	N	N	Y	N	N	N	N	N	N	Y	Y	Y	Y	N	N	N	N	Y	Y	Y	6	N	N	Y	Y
sub_fable_plain__c_998fea28-c41.js	c_998fea28-c41	GEAR HOPPER	sub:fable:plain	active	1153	8393	jump[boost:speed] lob[damage] dash[damage+knock]	6690	move,moveTo,face,faceAt,use,ready,ray,pathTo,rand,say	0/0/6	k1,k3,k2		N	N	N	Y	Y	Y	N	N	Y	N	Y	Y	Y	N	N	N	N	N	Y	Y	Y	Y	Y	N	N	Y	N	N	Y	Y	12	N	N	Y	N
sub_fable_plain__c_a4e2d394-5b4.js	c_a4e2d394-5b4	THUNDER CLOCKMAKER	sub:fable:plain	retired	1258	899	zone[weaken+root:speed] beam[damage] bolt[damage+stun]	7232	move,moveTo,faceAt,use,ready,cooldown,los,ray,pathTo,rand,say	0/0/4	k2,k3,k1		N	N	N	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	Y	N	N	Y	Y	Y	Y	N	Y	Y	N	Y	Y	Y	6	N	N	Y	Y
sub_fable_plain__c_dc319c88-aee.js	c_dc319c88-aee	GLASS WASP	sub:fable:plain	active	1160	7075	bolt[damage] beam[damage+knock] self[boost:speed]	7730	move,moveTo,stop,faceAt,use,ready,cooldown,los,ray,pathTo,rand,say	3/0/0	k1,k2,k3		N	N	N	Y	Y	N	Y	N	Y	Y	Y	Y	Y	N	N	N	Y	N	N	N	Y	Y	Y	N	N	N	N	Y	Y	Y	8	N	N	Y	Y
sub_opus_plain__c_35e1741f-274.js	c_35e1741f-274	BARROW WARDEN	sub:opus:plain	active	1401	5183	zone[damage+pull] lob[damage+weaken:speed] self[shield+boost:armor]	5562	moveTo,faceAt,use,ready,cooldown,pathTo,rand,remember,recall,say	1/0/2	k2,k1,k3		N	N	Y	Y	Y	Y	Y	Y	Y	N	Y	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	Y	N	Y	N	Y	Y	4	N	N	Y	Y
sub_opus_plain__c_8bb73425-8cd.js	c_8bb73425-8cd	MINE HEDGEHOG	sub:opus:plain	active	1257	8684	zone[burn+damage] cone[damage+knock] self[shield+cleanse]	4700	move,moveTo,face,faceAt,use,ready,cooldown,pathTo,rand,remember,recall,say	2/0/1	k3,k2,k1		N	N	N	Y	Y	Y	N	Y	Y	N	Y	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	Y	Y	Y	N	Y	Y	9	N	N	Y	Y
